vnem,카테고리,제품명,실판매가,소비자가,상품구성
87,오일,라투랑겔 피스타치오 오일,"39,000","54,800",[29%할인] 500ml
88,오일,라투랑겔 피자 오일,"22,800","32,000",[29%할인] 500ml
89,오일,라투랑겔 월넛 오일,"23,800","33,400",[29%할인] 500ml
90,오일,라투랑겔 타이 웍 오일,"27,000","37,400",[28%할인] 500ml
91,오일,라투랑겔 호박씨 오일,"23,400","32,800",[29%할인] 250ml x 1병
92,액상,내추럴 유기농 아가베시럽,"11,200","12,000",[최대7%할인] 660g x 1통
93,씨드/닙스,보뚜 테프,"5,000","12,700",[61%할인] 500g x 1팩
94,씨드/닙스,그래놀라,"5,900","23,500",[75%할인] 1kg
95,파우더,보뚜 유기농 보리새싹 분말,"7,900","13,800",[42%할인] 100g
96,파우더,보뚜 알팔파 유기농 파우더,"7,900","13,800",[42%할인] 100g x 1팩
97,파우더,보뚜 로즈힙 파우더,"11,900","52,600",[77%할인] 100g x 1통
98,오일,[TV 홈쇼핑 상품] 보뚜 아보카도 오일,"174,000","174,000",250ml x 6병
99,파우더,[TV 홈쇼핑 상품] 아두나 바오밥,"207,000","207,000",30g x 15팩
100,씨드/닙스,[TV 홈쇼핑 상품] 누티바 햄프씨드,"231,000","231,000",150g x 11팩
101,파우더,[TV 홈쇼핑 상품]보뚜 고지베리 파우더,"180,000","180,000",30g x 12통
102,씨드/닙스,[TV 홈쇼핑 상품]보뚜 블랙치아씨드,"101,600","101,600",500g x 8팩
103,씨드/닙스,[TV 홈쇼핑 상품]보뚜 테프,"101,600","101,600",500g x 8팩
104,건강기능식품,[TV 홈쇼핑 상품] 보뚜 가르시니아 다이어트 플러스,"200,000","200,000",60정 x 8박스
105,건강기능식품,[TV 홈쇼핑 상품] 보뚜 밀크씨슬 간건강 플러스,"160,000","160,000",30정 x 8박스
106,건강기능식품,[TV 홈쇼핑 상품] 보뚜 루테인 눈 건강 플러스,"144,000","144,000",30캡슐 x 8박스
107,액상,[TV 홈쇼핑 상품] 보뚜 약콩두유,"90,000","90,000",190ml x 60팩
108,파우더,보뚜 레드마카 파우더,"2,900","23,000",[87%할인] 100g x 1팩
